"Action","Path","Target","Reason","Result"
"MOVE","C:\Users\ashra\ahkstrategies-project\assets\images\pillars\vision-strategy\download.jpeg","C:\Users\ashra\ahkstrategies-project\public\assets\images\pillars\vision-strategy\download.jpeg","Unify assets under /public/assets","moved"
"REMOVE","C:\Users\ashra\ahkstrategies-project\assets","","Legacy assets folder (now empty or migrated)","removed"
"MOVE","C:\Users\ashra\ahkstrategies-project\opening image.png","C:\Users\ashra\ahkstrategies-project\public\assets\images\opening image.png","Move root image into /public/assets/images","moved"
"MOVE","C:\Users\ashra\ahkstrategies-project\vision.png","C:\Users\ashra\ahkstrategies-project\public\assets\images\vision.png","Move root image into /public/assets/images","moved"
"MOVE","C:\Users\ashra\ahkstrategies-project\MENA region export business.png","C:\Users\ashra\ahkstrategies-project\public\assets\images\MENA region export business.png","Move root image into /public/assets/images","moved"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\background.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\human-intelligence.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\innovation.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\intro-video.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\legacy.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\people.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\projects-opportunities.mp4","","Video present","ok"
"CHECK","C:\Users\ashra\ahkstrategies-project\public\videos\vision.mp4","","Video present","ok"
"REMOVE","C:\Users\ashra\ahkstrategies-project\index.html","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\index.html.bak","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\served.html","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\served2.html","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\served.inspect.txt","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\served-head.txt","","Legacy static HTML outside Next pipeline","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\src\pages\tailwind.config.js","","Duplicate/incorrect Tailwind config; keep root config only","removed"
"REMOVE","C:\Users\ashra\ahkstrategies-project\src\styles\global.css","","Duplicate global.css (keeping styles\global.css)","removed"
"WRITE","C:\Users\ashra\ahkstrategies-project\src\components\HeroSection.jsx","","Unify video src paths to /videos/","written"
"WRITE","C:\Users\ashra\ahkstrategies-project\tailwind.config.js","","Expand Tailwind content globs to include all app/pages/src/components","written"
